pid,creator_email,project_name,tag,project_date,day_of_week,start_time,end_time,curr_capacity,goal_capacity,city,state,description
1,vestibulum.massa@variusorciin.ca,Seniors Guest Speaker,Technology,7/6/2018,wednesday,10,13,0,10,Gaithersburg,OK,
2,ridiculus.mus@tortordictum.ca,Faith-based Charity Auction,Sports,11/7/2018,sunday,9,12,0,14,Jackson,AZ,
3,ultrices@ligulaNullamenim.org,Women Charity Auction,Technology,7/3/2017,sunday,13,16,0,25,Springfield,UT,
4,massa@egetvolutpat.net,Homeless Drive,Animals,8/1/2017,wednesday,15,17,0,17,Portland,AK,
5,ornare@posuere.ca,Seniors Social Media Fundraising,Youth,1/12/2017,monday,8,9,0,12,Naperville,VA,
6,Suspendisse.sagittis.Nullam@auctor.ca,Environment Guest Speaker,Homeless,12/22/2017,monday,17,20,0,10,Chicago,CO,
7,lectus.ante.dictum@et.edu,Education Charity Auction,Animals,1/4/2018,tuesday,16,17,0,10,Gresham,GA,
8,velit@nunc.ca,Youth Guest Speaker,Disaster Relief,10/6/2018,monday,17,20,0,25,Bowling Green,HI,
9,arcu.vel.quam@lacusQuisque.com,Sports Walk,Animals,10/18/2018,thursday,11,13,0,6,Lewiston,MA,
10,Integer.id.magna@venenatislacusEtiam.org,Environment Guest Speaker,Disaster Relief,1/23/2017,friday,15,17,0,3,Bellevue,NV,
11,euismod@urnaVivamusmolestie.com,Human Rights Charity Auction,Faith-based,5/11/2018,tuesday,7,8,0,12,West Valley City,DE,
12,velit.justo@Aliquamadipiscing.ca,Technology Charity Auction,International,6/9/2018,wednesday,7,9,0,12,Honolulu,UT,
13,ultrices.iaculis.odio@leo.com,Human Rights Guest Speaker,Education,1/31/2018,saturday,15,17,0,3,San Antonio,KS,
14,nonummy.ipsum@magnaa.co.uk,LGBT Walk,Animals,11/10/2018,thursday,11,14,0,21,Montpelier,OR,
15,Cras.convallis.convallis@mauris.com,Human Rights Foundation,Politics,1/31/2017,sunday,14,17,0,7,Cleveland,OR,
16,quis@nequenon.org,Youth Foundation,Hunger,6/28/2018,saturday,7,8,0,10,Madison,CT,
17,et@tortordictum.com,Seniors Guest Speaker,Education,8/19/2018,sunday,9,10,0,20,Salem,WI,
18,ornare.facilisis.eget@convallis.org,Sports Drive,Hunger,6/5/2018,tuesday,11,14,0,4,Juneau,MA,
19,Nunc.ac@facilisismagnatellus.edu,Homeless Foundation,Youth,3/1/2017,wednesday,15,18,0,22,Springfield,GA,
20,pretium.neque.Morbi@Duisacarcu.ca,Hunger Social Media Fundraising,Disaster Relief,11/28/2017,monday,11,13,0,12,Glendale,MT,
21,ligula.Donec@nunc.net,Faith-based Charity,International,1/21/2019,sunday,16,18,0,24,Bozeman,HI,
22,aliquam.eu@Donecnibh.co.uk,Women Drive,Disaster Relief,9/17/2018,sunday,9,12,0,5,Gresham,IA,
23,Suspendisse.tristique@massa.ca,Health Charity,Sports,11/14/2017,friday,10,13,0,23,Chesapeake,ME,
24,et.netus@est.com,Faith-based Foundation,Environment,4/28/2018,thursday,9,10,0,4,New Orleans,IL,
25,eget@ultricessit.com,Women Social Media Fundraising,Politics,11/4/2017,friday,17,18,0,20,Racine,CT,
26,elit.erat.vitae@ligulatortor.net,Environment Guest Speaker,Politics,4/12/2017,saturday,17,19,0,24,Oklahoma City,OR,
27,elit.a.feugiat@Donecvitae.ca,Animals Drive,LGBT,9/27/2018,sunday,16,19,0,11,South Burlington,NV,
28,sit.amet.dapibus@tacitisociosquad.co.uk,Faith-based Social Media Fundraising,Seniors,9/17/2017,wednesday,9,10,0,21,Jacksonville,DE,
29,at@liberoestcongue.org,Health Charity,Politics,10/29/2017,wednesday,12,13,0,13,Kenosha,MO,
30,suscipit@erat.co.uk,Homeless Drive,Women,10/18/2017,saturday,8,10,0,21,Butte,AR,
31,blandit@in.edu,Faith-based Charity,Animals,10/25/2017,monday,16,19,0,5,Kearney,NV,
