creator_email,project_name,tag,start_date,end_date,curr_capacity,goal_capacity,city,state,description
vestibulum.massa@variusorciin.ca,Seniors Guest Speaker,Technology,2019-07-06 18:00:00,2019-07-07 17:00:00,0,10,Iowa City,IA,
ridiculus.mus@tortordictum.ca,Faith-based Charity Auction,Sports,2019-11-08 00:00:00,2019-11-08 18:00:00,0,14,South Bend,IN,
ultrices@ligulaNullamenim.org,Women Charity Auction,Technology,2018-07-03 10:00:00,2018-07-03 19:00:00,0,25,Honolulu,HI,
massa@egetvolutpat.net,Homeless Drive,Animals,2018-08-01 06:00:00,2018-08-01 17:00:00,0,17,Racine,WI,
ornare@posuere.ca,Seniors Social Media Fundraising,Youth,2018-01-12 21:00:00,2018-01-13 18:00:00,0,12,Fresno,CA,
Suspendisse.sagittis.Nullam@auctor.ca,Environment Guest Speaker,Homeless,2018-12-22 11:00:00,2018-12-22 16:00:00,0,10,Rutland,VT,
lectus.ante.dictum@et.edu,Education Charity Auction,Animals,2019-01-04 03:00:00,2019-01-04 17:00:00,0,10,Hartford,CT,
velit@nunc.ca,Youth Guest Speaker,Disaster Relief,2019-10-06 03:00:00,2019-10-07 01:00:00,0,25,Salt Lake City,UT,
arcu.vel.quam@lacusQuisque.com,Sports Walk,Animals,2019-10-18 04:00:00,2019-10-18 13:00:00,0,6,Helena,MT,
Integer.id.magna@venenatislacusEtiam.org,Environment Guest Speaker,Disaster Relief,2018-01-23 10:00:00,2018-01-24 04:00:00,0,3,Allentown,PA,
euismod@urnaVivamusmolestie.com,Human Rights Charity Auction,Faith-based,2019-05-11 12:00:00,2019-05-12 00:00:00,0,12,Portland,OR,
velit.justo@Aliquamadipiscing.ca,Technology Charity Auction,International,2019-06-09 06:00:00,2019-06-09 16:00:00,0,12,Detroit,MI,
ultrices.iaculis.odio@leo.com,Human Rights Guest Speaker,Education,2019-01-31 23:00:00,2019-02-01 23:00:00,0,3,Cheyenne,WY,
nonummy.ipsum@magnaa.co.uk,LGBT Walk,Animals,2019-11-10 13:00:00,2019-11-10 18:00:00,0,21,Phoenix,AZ,
Cras.convallis.convallis@mauris.com,Human Rights Foundation,Politics,2018-01-31 23:00:00,2018-02-01 17:00:00,0,7,Wyoming,WY,
quis@nequenon.org,Youth Foundation,Hunger,2019-06-28 16:00:00,2019-06-29 08:00:00,0,10,Memphis,TN,
et@tortordictum.com,Seniors Guest Speaker,Education,2019-08-19 20:00:00,2019-08-20 08:00:00,0,20,Oklahoma City,OK,
ornare.facilisis.eget@convallis.org,Sports Drive,Hunger,2019-06-05 13:00:00,2019-06-06 09:00:00,0,4,Tallahassee,FL,
Nunc.ac@facilisismagnatellus.edu,Homeless Foundation,Youth,2018-03-01 06:00:00,2018-03-02 00:00:00,0,22,St. Petersburg,FL,
pretium.neque.Morbi@Duisacarcu.ca,Hunger Social Media Fundraising,Disaster Relief,2018-11-28 21:00:00,2018-11-29 10:00:00,0,12,Owensboro,KY,
ligula.Donec@nunc.net,Faith-based Charity,International,2020-01-21 09:00:00,2020-01-21 13:00:00,0,24,Little Rock,AR,
aliquam.eu@Donecnibh.co.uk,Women Drive,Disaster Relief,2019-09-17 06:00:00,2019-09-18 00:00:00,0,5,Lawton,OK,
Suspendisse.tristique@massa.ca,Health Charity,Sports,2018-11-14 01:00:00,2018-11-14 03:00:00,0,23,Davenport,IA,
et.netus@est.com,Faith-based Foundation,Environment,2019-04-28 15:00:00,2019-04-28 20:00:00,0,4,Las Vegas,NV,
eget@ultricessit.com,Women Social Media Fundraising,Politics,2018-11-04 01:00:00,2018-11-04 04:00:00,0,20,Vancouver,WA,
elit.erat.vitae@ligulatortor.net,Environment Guest Speaker,Politics,2018-04-12 08:00:00,2018-04-13 08:00:00,0,24,Sioux City,IA,
elit.a.feugiat@Donecvitae.ca,Animals Drive,LGBT,2019-09-27 03:00:00,2019-09-27 17:00:00,0,11,Salem,OR,
sit.amet.dapibus@tacitisociosquad.co.uk,Faith-based Social Media Fundraising,Seniors,2018-09-17 05:00:00,2018-09-18 00:00:00,0,21,Pike Creek,DE,
at@liberoestcongue.org,Health Charity,Politics,2018-10-29 08:00:00,2018-10-29 17:00:00,0,13,Auburn,ME,
suscipit@erat.co.uk,Homeless Drive,Women,2018-10-18 18:00:00,2018-10-19 15:00:00,0,21,Waterbury,CT,
blandit@in.edu,Faith-based Charity,Animals,2018-10-25 08:00:00,2018-10-25 12:00:00,0,5,Davenport,IA,
vitae.velit.egestas@ipsum.net,Health Guest Speaker,Education,2019-04-02 20:00:00,2019-04-03 11:00:00,0,7,Jefferson City,MO,
ipsum.Suspendisse@velvulputate.net,Politics Charity Auction,Disaster Relief,2018-12-04 16:00:00,2018-12-04 22:00:00,0,15,Cedar Rapids,IA,
dui.Suspendisse.ac@Maecenasmi.org,Youth Charity Auction,Environment,2018-03-20 00:00:00,2018-03-20 22:00:00,0,14,Gulfport,MS,
nec.mollis@iaculisneceleifend.ca,Seniors Drive,Arts and Crafts,2019-10-15 00:00:00,2019-10-15 06:00:00,0,10,Little Rock,AR,
scelerisque.mollis.Phasellus@scelerisque.com,Women Guest Speaker,Faith-based,2019-12-13 20:00:00,2019-12-14 15:00:00,0,15,Pittsburgh,PA,
sem.mollis.dui@justoPraesentluctus.edu,Youth Drive,Disaster Relief,2018-06-02 09:00:00,2018-06-03 01:00:00,0,23,Chesapeake,VA,
vel.convallis.in@Maecenasornareegestas.com,Technology Charity Auction,Seniors,2019-11-23 05:00:00,2019-11-23 11:00:00,0,14,Madison,WI,
amet.dapibus@elita.edu,Sports Drive,Youth,2020-04-13 09:00:00,2020-04-13 21:00:00,0,15,Kenosha,WI,
libero.est@Aenean.ca,Faith-based Guest Speaker,Arts and Crafts,2018-10-21 04:00:00,2018-10-21 13:00:00,0,17,North Las Vegas,NV,
fermentum@dolor.com,Disaster Relief Drive,Technology,2019-08-21 04:00:00,2019-08-21 22:00:00,0,23,Detroit,MI,
